Device ,Size [cm2],Temperature [C],Irradiance [W/m2],Jsc [mA/cm2],Isc [mA],Voc [mV],Impp [mA],Vmpp [mV],Pmpp [mW],FF [%],Eta [%],n1 ,n2 ,IscSlope [Ohm.cm2],Rshunt [Ohm.cm2],Rseries [mOhm.cm2],Jo1 [A/cm2],Jo2 [A/cm2],Slope Voc [mOhm.cm2],GaAs+PMMA+TR0%+L430W,GaAs+PMMA+TR1%+L430W,GaAs+PMMA+TR10%+L430W,GaAs+PMMA+TR15%+L430W,GaAs+PMMA+TR2%+L430W,GaAs+PMMA+TR3%+L430W,GaAs+PMMA+TR4%+L430W,GaAs+PMMA+TR5%+L430W,GaAs+PMMA+TR6%+L430W,GaAs+PMMA+TR7%+L430W,GaAs+PMMA+TR8%+L430W,GaAs+PMMA+TR9%+L430W,EuTTAbipy5%0.01,TiO4Al2O3,TiO2,TiO2Al2O3,Al2O3,-cap,RTA920,PMMA,TR,ARC,Submon2x4,SubMon2/4,SubMonML4/4,Al30%,Al82%,f2,f5,f8,f10,Ref GaAs,QDSKmeio,QDSKfundo,QDSK,I+,Si
3908,0.0483,25.0,1001.86243902439,12.5426407504594,0.605809548247188,906.000364624007,0.564009557280507,742.992243581477,0.419054726365239,76.3495104604194,8.67608129120578,2.7651,0.0,740812.89335691,0.0,1.3873,1.7236e-09,0,108995.239633691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.5373049206182,0.605551827665858,906.722613995421,0.563360676526126,743.648246490925,0.418942179240595,76.3006646182855,8.67375112299368,2.2637,0.0,404477.058003077,0.0,17.136,1.0186e-10,0,110072.86068954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.5692040397321,0.607092555119059,908.058598613791,0.564896065415148,745.227094103343,0.420975853299742,76.3639533428933,8.7158561759781,2.2524,0.0,511173.470118823,0.0,18.531,9.2389e-11,0,112338.679247216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.4755469618948,0.60256891825952,906.16137615398,0.560103904740844,744.348370546083,0.416912428830346,76.3541363513867,8.63172730497611,2.2333,0.0,1801710.7148459,1989812.16173193,18.452,8.2882e-11,0,109519.328028851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.1979411739608,0.589160558702305,894.377967362904,0.549938610025155,744.390405288063,0.409369024800179,77.6891233779801,8.47554916770557,2.0007,0.0,804663.185310919,562018.771426966,18.415,1.6089e-11,0,98089.9124606038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.2716508273491,0.592720734960959,891.520417074011,0.503136871989295,724.937909984942,0.364742992416281,69.0248613490345,7.55161474981947,3.2935,0.0,189147.357006085,72474.2716335701,3.5228e-07,1.5104e-08,0,112678.158590546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.3012471579967,0.59415023773124,901.711695041708,0.552197065283991,749.322134139018,0.413773483423903,77.2322483308746,8.56673878724436,2.1147,0.0,133876.105213917,395491.398062092,12.568,3.6172e-11,0,97843.0372127745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.2694536240391,0.59261461004109,903.947814794526,0.552848111731917,753.029844680777,0.416311127709547,77.714544529571,8.61927800640883,2.0791,0.0,246056.089285835,623014.142421033,11.89,2.6126e-11,0,100729.327647652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.213453023743,0.589909781046788,903.91883636486,0.55049278170616,753.357765085604,0.41471801172191,77.7746139512244,8.58629423854886,2.0922,0.0,100000000.0,4010105.46577375,12.497,2.8967e-11,0,101967.775648038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.1610926790462,0.587380776397933,903.50135547474,0.547717696256431,753.419915066975,0.412661420194199,77.7580446572946,8.54371470381365,2.065,0.0,473126.072965193,745712.155108128,12.258,2.3273e-11,0,100179.426641523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.0939194572092,0.584136309783204,886.092026267838,0.545958436518917,739.277057754218,0.403614546605798,77.9783028846937,8.35640883241818,1.9947,0.0,218129.010946065,1113027.99265402,12.167,1.7829e-11,0,95281.4763292741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
